,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Grocery Bags,Chip Bags,Sports Balls,Homes Powered*,
259,May,2018,5/28/18,3.19,15,1480,1560,8000,3,1360,2340,3,53,
260,May,2018,5/28/18,2.86,15,1300,1230,7000,6,1130,2140,2,48,
261,May,2018,5/28/18,4.1,15,1650,1490,9000,2,820,1930,1,68,
262,May,2018,5/31/18,3.38,15,2130,2240,11000,9,650,2350,2,56,
,May Total,,,37.94,165,17120,17100,102000,50,7720,19360,27,632,
263,June,2018,6/3/18,3.35,15,2340,2580,12000,11,1130,1760,5,56,
264,June,2018,6/3/18,3.17,15,1890,2130,14000,6,870,1590,4,53,
265,June,2018,6/5/18,4.19,15,1420,1650,8000,3,590,1020,3,70,
266,June,2018,6/5/18,2.6,15,1280,1330,9000,3,630,1170,2,43,
267,June,2018,6/5/18,4.15,15,1140,1290,7000,2,570,1340,4,69,
268,June,2018,6/12/18,4.23,15,870,950,11000,6,890,1220,2,71,
269,June,2018,6/12/18,4.15,15,940,1130,10000,8,760,1430,8,69,
270,June,2018,6/12/18,4.44,15,620,730,5000,4,810,1020,3,74,
271,June,2018,6/28/18,3.12,15,1560,1780,13000,5,1240,1750,2,52,
272,June,2018,6/29/18,0.96,15,1720,1980,12000,4,1110,1500,2,16,
,June Total,,,34.36,150,13780,15550,101000,52,8600,13800,35,573,
273,July,2018,7/18/18,2.99,15,1890,1630,13000,8,850,1290,3,50,
274,July,2018,7/22/18,3.49,15,1760,1830,10000,10,790,1340,1,58,
275,July,2018,7/24/18,4.39,15,890,1020,8000,4,340,710,5,73,
276,July,2018,7/24/18,3.57,15,710,850,6000,2,410,820,3,60,
277,July,2018,7/24/18,3.79,15,620,540,4000,2,370,560,1,63,
278,July,2018,7/24/18,4.24,15,780,670,5000,3,50,720,2,71,
279,July,2018,7/25/18,3.49,15,540,430,8000,6,410,910,7,58,
280,July,2018,7/25/18,4.16,15,670,720,7000,4,360,840,4,69,
281,July,2018,7/26/18,3.17,15,820,540,6000,8,430,750,5,53,
282,July,2018,7/28/18,3.31,15,540,650,10000,5,500,690,1,55,
283,July,2018,7/28/18,3.32,15,730,670,7000,6,290,1020,7,55,
284,July,2018,7/28/18,3.98,15,910,790,5000,9,370,560,2,66,
285,July,2018,7/28/18,3.84,15,710,630,8000,2,300,730,3,64,
,July Total,,,47.74,195,11570,10970,97000,69,5470,10940,44,796,
,Grand Total,,,934.94,4439,561180,661437,10289600,7975,404377,547359,3608.6,"11,951",
